channel_name,video_id,Date,Time,duration_seconds,views,likes,comments,shorts,title,content_type
RJ Karishma,U6wJGdU2oRU,4/4/2024,9:04:31 AM,52,"42,046,694.00","1,622,349.00",1813,Yes,jante ho inko kaun hai ?? 😹#rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,vqPRmW-zHmM,3/27/2024,6:33:17 AM,57,"5,855,425.00","289,464.00",814,Yes,sari batey ek taraf ..mummy se video call ek taraf #shorts #rjkarishma,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,6CLbT7vWiGE,3/24/2024,9:45:04 AM,59,"4,470,694.00","210,045.00",248,Yes,kuch bacha ho toh comment section mai likh lena #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,Usy_lKNK3ok,3/22/2024,7:41:48 AM,61,"9,823,658.00","382,579.00",1344,Yes,this ultimate experience anyone would want #iplonjiocinema,Daily Life / Emotions
RJ Karishma,Rxo7iA6ZqnE,3/18/2024,10:40:46 AM,60,"22,638,679.00","1,019,323.00",2220,Yes,that one small kid at every home #ad #rjkarishma #shorts,"POV / Kids & Teens, Character / Micro Comedy, Brand / Ads / Events"
RJ Karishma,MG7B6Mwvgrs,3/11/2024,10:41:36 AM,60,"9,941,232.00","452,436.00",638,Yes,that girl in every class #rjkarishma #shorts,"POV / Kids & Teens, Character / Micro Comedy"
RJ Karishma,lsEG_EN0Tlo,2/24/2024,8:49:47 AM,60,"5,352,556.00","302,560.00",738,Yes,pehchana inn ko ?? #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,4n_D8jgIlUM,2/11/2024,6:30:32 AM,59,"16,010,024.00","886,527.00",976,Yes,kaun kaun abhi bhi work from home kar raha hai #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,_4FUs2dvHWo,2/4/2024,5:54:32 AM,60,"89,689,309.00","3,112,948.00",5157,Yes,sabko mummy itni he pyaari hoti hai?#rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy, Romance / Relationships"
RJ Karishma,gFb9DN3duRw,2/2/2024,2:15:55 PM,61,"16,486,582.00","888,878.00",660,Yes,nani ka ghar sabse pyaara❤️#rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy, Romance / Relationships"
RJ Karishma,6knVyhhGNK8,1/28/2024,4:00:09 AM,59,"6,178,707.00","343,272.00",1327,Yes,didi aap jiju se kaise mile batao na ? #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,XL_kTGC4h2g,1/17/2024,7:59:07 AM,60,"6,640,805.00","358,330.00",668,Yes,kaun kaun blush kar raha hai #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,tuhpK-WEL8Q,1/6/2024,6:11:59 AM,61,"4,971,604.00","235,180.00",293,Yes,yum bhi yahi karte ho na?? sach batana ! #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,O-Q9ULVhh7c,12/27/2023,7:58:42 AM,60,"12,235,671.00","670,955.00",1038,Yes,tight pakdiye yaha se #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,IUpfMBl0KpQ,12/22/2023,8:35:59 AM,60,"7,782,217.00","394,573.00",598,Yes,mom’s are special #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,bbOFKweU2TY,12/16/2023,12:40:19 PM,61,"2,518,503.00","126,029.00",279,Yes,yaad aai ye wali aunty?? #shorts #rjkarishma,"Character / Micro Comedy, Daily Life / Emotions"
RJ Karishma,ytbrgKUtcOg,11/29/2023,3:25:51 PM,61,"46,121,839.00","1,682,138.00",5202,Yes,don’t call me baby #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,sO6bxFMMGAs,11/23/2023,11:45:50 AM,60,"9,810,366.00","580,864.00",571,Yes,pehchan kaun #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,FcYsSbQghTw,11/22/2023,10:02:11 AM,37,"3,953,265.00","252,526.00",1576,Yes,video calls with mom is the best thing #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,96oJ5uDw2y4,11/20/2023,11:24:19 AM,59,"5,764,026.00","320,790.00",861,Yes,ek appeal #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,Dshh35lNKr4,11/14/2023,12:31:45 PM,60,"11,066,954.00","512,866.00",3491,Yes,chilgozi hai apke ghar par?? #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,gScDAZSsSXI,11/10/2023,1:23:35 PM,60,"42,403,637.00","1,471,422.00",2857,Yes,kya lagta hai ki bahar bhi ye jodi ka pyaar aise he bana rahega? #rjkarishma #shorts,"Character / Micro Comedy, Romance / Relationships"
RJ Karishma,2H96uIM4jw8,11/7/2023,3:18:28 AM,60,"12,674,907.00","606,591.00",2573,Yes,kaun kaun shadi kar raha hai iss saal batao zara #rjkarishma #videos,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,ED-EZv1qQyU,11/5/2023,10:24:09 AM,60,"7,122,719.00","407,646.00",567,Yes,aaj kal light color ka zamana hai @dharnadurga #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,91jjdgpINy0,10/30/2023,7:48:37 AM,60,"9,109,412.00","436,930.00",2171,Yes,sahi baat hai kaun tayar ho inki shadi mai #shorts #rjkarishma,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,6NoSBWa7VkY,10/26/2023,5:30:37 AM,59,"8,713,497.00","452,076.00",926,Yes,blush blush blush #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,tbAB82rlmy8,10/23/2023,1:34:33 PM,60,"6,290,825.00","336,427.00",582,Yes,kya apka cupboard bhi apse batey karta hai ? #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,UJySjgsoT30,10/18/2023,9:51:01 AM,54,"3,414,200.00","192,069.00",497,Yes,just mom things #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,vFi3ZRPlK7o,10/1/2023,5:32:23 AM,61,"5,521,671.00","267,528.00",691,Yes,arrey yaarrrr #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,3k726zBrcXs,9/29/2023,5:37:08 AM,59,"13,885,534.00","733,994.00",2511,Yes,kuch bhi bolo ..sach toh bolte hain ye log #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,T39c0z21Z0E,9/26/2023,5:30:10 AM,60,"7,352,181.00","373,591.00",1426,Yes,tag your sabse sweet cousin #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,mtV1yYVnfi4,9/18/2023,5:37:41 AM,60,"3,185,852.00","203,902.00",1914,Yes,normal matlab normal🤣 #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,ApPY8N8RutQ,9/16/2023,9:18:53 AM,19,"2,574,324.00","131,695.00",472,Yes,haan mujhe usko pit-ta dekh sukoon milta hai #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,pUW3AbJPYCk,9/15/2023,12:04:55 PM,60,"10,454,152.00","582,073.00",1010,Yes,😝😝 #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,EseOn8b0fWQ,9/2/2023,2:43:13 PM,59,"4,881,670.00","158,181.00",353,Yes,maa❤️ #shorts #rjkarishma #shorts,Character / Micro Comedy
